n TRE T "execution time"
2 "< a2 . <a1.a1*>_[0,1] >_[0,2]" 1.00 0.48
3 "< a3 . < a2 . <a1.a1*>_[0,1] >_[0,2] >_[0,3]" 1.50 0.58
4 "< a4 . < a3 . < a2 . <a1.a1*>_[0,1] >_[0,2] >_[0,3] >_[0,4]" 2.00 1.24
5 "< a5 . < a4 . < a3 . < a2 . <a1.a1*>_[0,1] >_[0,2] >_[0,3] >_[0,4] >_[0,5]" 2.50 2.27
6 "< a6 . < a5 . < a4 . < a3 . < a2 . <a1.a1*>_[0,1] >_[0,2] >_[0,3] >_[0,4] >_[0,5] >_[0,6]" 3.00 5.03
7 "< a7 . < a6 . < a5 . < a4 . < a3 . < a2 . <a1.a1*>_[0,1] >_[0,2] >_[0,3] >_[0,4] >_[0,5] >_[0,6] >_[0,7]" 3.50 12.33
8 "< a8 . < a7 . < a6 . < a5 . < a4 . < a3 . < a2 . <a1.a1*>_[0,1] >_[0,2] >_[0,3] >_[0,4] >_[0,5] >_[0,6] >_[0,7] >_[0,8]" 4.00 40.02
9 "< a9 . < a8 . < a7 . < a6 . < a5 . < a4 . < a3 . < a2 . <a1.a1*>_[0,1] >_[0,2] >_[0,3] >_[0,4] >_[0,5] >_[0,6] >_[0,7] >_[0,8] >_[0,9]" 4.50 139.64
