k,t_split,t_sample,t_dist_total,status,regexp,n,n_traj
1,0.000000,0.001000,0.010000,ok,"(<r<a*g>_[0,1]>_[0,2])*",10,10
2,0.000000,0.002000,0.020000,ok,"(<s<r<a*g>_[0,1]>_[0,2]>_[0,3])*",10,10
3,0.030000,0.019000,0.190000,ok,"(<t<s<r<a*g>_[0,1]>_[0,2]>_[0,3]>_[0,4])*",10,10
4,0.170000,0.101000,1.010000,ok,"(<u<t<s<r<a*g>_[0,1]>_[0,2]>_[0,3]>_[0,4]>_[0,5])*",10,10
5,1.980000,0.928000,9.280000,ok,"(<v<u<t<s<r<a*g>_[0,1]>_[0,2]>_[0,3]>_[0,4]>_[0,5]>_[0,6])*",10,10
6,22.990000,12.942000,129.420000,ok,"(<w<v<u<t<s<r<a*g>_[0,1]>_[0,2]>_[0,3]>_[0,4]>_[0,5]>_[0,6]>_[0,7])*",10,10
7,,,,oom,"(<x<w<v<u<t<s<r<a*g>_[0,1]>_[0,2]>_[0,3]>_[0,4]>_[0,5]>_[0,6]>_[0,7]>_[0,8])*",10,10
8,,,,oom,"(<y<x<w<v<u<t<s<r<a*g>_[0,1]>_[0,2]>_[0,3]>_[0,4]>_[0,5]>_[0,6]>_[0,7]>_[0,8]>_[0,9])*",10,10
